"ID";"CNAE";"DESCRIPCION"
115;"2020";"FABRIC. DE CHAPAS; TABLEROS; CONTRACHAP.; AGLOMERADOS; FIBRAS            "
116;"2030";FABRIC. ESTRUCT. MADERA Y PIEZAS CARPINTERIA Y EBANISTERIA   
117;"2040";FABRICACION DE ENVASES Y EMBALAJES DE MADERA                 
118;"2050";"FABRIC. OTROS PROD. DE MADERA. PRODUCTOS DE CORCHO; CESTERIA "
119;"2051";FABRICACION DE OTROS PRODUCTOS DE MADERA
130;"2210";EDICION
120;"2052";"FABRICACION DE PRODUCTOS DE CORCHO; CESTERIA Y ESPARTERIA"
121;"2110";"FABRICACION DE PASTA PAPELERA; PAPEL Y CARTON"
122;"2111";FABRICACION DE PASTA PAPELERA
123;"2112";FABRICACION DE PAPEL Y CARTON
124;"2120";FABRICACION DE ARTICULOS DE PAPEL Y DE CARTON
125;"2121";FAB. PAPEL Y CARTON ONDULADOS: FAB. ENV. Y EMB. PAPEL Y CART
126;"2122";FAB. ARTICULOS PAPEL Y CARTON PARA USO DOMESTICO Y SANITARIO
127;"2123";FABRICACION DE ARTICULOS DE PAPELERIA
128;"2124";FABRICACION DE PAPELES PINTADOS
129;"2125";FABRICACION DE OTROS ARTICULOS DE PAPEL Y CARTON
131;"2211";EDICION DE LIBROS
132;"2212";EDICION DE PERIODICOS
133;"2213";EDICION DE REVISTAS
134;"2214";EDICION DE SOPORTES DE SONIDO GRABADO
135;"2215";OTRAS ACTIVIDADES DE EDICION
136;"2220";ARTES GRAFICAS Y ACTIV. DE SERV. RELACIONADOS CON LAS MISMAS
137;"2221";IMPRESION DE PERIODICOS
138;"2222";OTRAS ACTIVIDADES DE IMPRESION
139;"2223";ENCUADERNACION Y ACABADO
140;"2224";COMPOSICION Y FOTOGRABADO
141;"2225";OTRAS ACTIVIDADES GRAFICAS
142;"2230";REPRODUCCION DE SOPORTES GRABADOS
143;"2231";REPRODUCCION DE SOPORTES DE SONIDO GRABADO
144;"2232";REPRODUCCION DE SOPORTES DE VIDEO GRABADO
145;"2233";REPRODUCCION DE SOPORTES DE INFORMATICA GRABADOS
146;"2310";COQUERIAS                                                    
147;"2320";REFINO DE PETROLEO                                           
148;"2330";TRATAMIENTO DE COMBUSTIBLES NUCLEARES Y RESIDUOS RADIACTIVOS 
149;"2410";FABRICACION DE PRODUCTOS QUIMICOS BASICOS
150;"2411";FABRICACION DE GASES INDUSTRIALES
151;"2412";FABRICACION DE COLORANTES Y PIGMENTOS
152;"2413";FABRICACION DE PRODUCTOS BASICOS DE QUIMICA INORGANICA
153;"2414";FABRICACION DE PRODUCTOS BASICOS DE QUIMICA ORGANICA
154;"2415";FABRICACION DE ABONOS Y COMP. NITROGENADOS FERTILIZANTES
155;"2416";FABRICACION DE PRIMERAS MATERIAS PLASTICAS
156;"2417";FABRICACION DE CAUCHO SINTETICO EN FORMA PRIMARIA
157;"2420";FABRICACION DE PESTICIDAS Y OTROS PRODUCTOS AGROQUIMICOS
158;"2430";"FABRIC.PINTURAS;BARNICES Y REVESTIM.SIMILARES;TINTAS;MASILL."
159;"2440";FABRICACION DE PRODUCTOS FARMACEUTICOS
160;"2441";FABRICACION DE PRODUCTOS FARMACEUTICOS DE BASE
161;"2442";FAB. PREP. FARMACEUTICAS Y OTROS PDTOS. FARMAC. USO MEDIC.
162;"2450";"FABRIC. JABONES; DETERGENTES; OTROS ARTIC. LIMP. Y ABRILLANTAMIENTO"
